filiere,puismaxinstallee
Solaire,99.9
Solaire,99.9
Solaire,99.9
Solaire,99.0
Solaire,84.2
Solaire,99.84
Solaire,99.99
Solaire,84.15
Solaire,99.9
Solaire,99.9
Solaire,4395.0
Solaire,99.9
Solaire,2360.0
Solaire,880.0
Solaire,71.28
Solaire,66.24
Solaire,99.9
Solaire,99.99
Solaire,1021.71
Solaire,159.11
Solaire,99.9
Solaire,99.9
Solaire,196.7
Solaire,99.84
Solaire,59.78
Solaire,99.0
Solaire,100.9
Solaire,100.0
Solaire,84.15
Solaire,99.9
Solaire,196.7
Solaire,99.9
Solaire,99.9
Solaire,84.2
Solaire,609.44
Solaire,70.56
Solaire,889.0
Solaire,99.99
Solaire,889.0
Solaire,726.0
Solaire,82.8
Thermique non renouvelable,132300.0
Solaire,99.96
Solaire,516.06
Solaire,850.0
Solaire,99.9
Thermique non renouvelable,20000.0
Thermique non renouvelable,20000.0
Solaire,850.0
Solaire,70.56
Solaire,99.96
Thermique non renouvelable,132300.0
Solaire,726.0
Solaire,152.79
Solaire,4395.0
Solaire,44.18
Solaire,2360.0
Solaire,74.02
Solaire,99.9
Solaire,99.9
Solaire,99.0
Solaire,100.0
Solaire,99.0
Solaire,99.0
Solaire,47.72
Solaire,99.9
Solaire,99.0
Solaire,99.0
Solaire,99.9
Solaire,84.15
Solaire,84.15
Solaire,128.85
Solaire,93.2
Solaire,93.0
Solaire,105.79
Solaire,4421.0
Solaire,4421.0
Hydraulique,2100.0
Hydraulique,2100.0
Solaire,35.47
Solaire,1333.0
Solaire,99.9
Solaire,1333.0
Solaire,3671.0
Solaire,51.32
Solaire,3671.0
Solaire,99.9
Solaire,99.82
Solaire,29.95
Solaire,72.52
Solaire,99.82
Solaire,2199.0
Solaire,39.74
Solaire,99.9
Solaire,99.45
Solaire,56.97
Hydraulique,3569.0
Hydraulique,3569.0
Solaire,59.25
Solaire,99.96
Hydraulique,400.0
Solaire,67.83
Solaire,952.0
Solaire,952.0
Solaire,58.12
Solaire,99.9
Solaire,39.12
Solaire,31.18
Solaire,2250.0
Solaire,2250.0
Hydraulique,53.0
Hydraulique,494.0
Hydraulique,53.0
Solaire,99.8
Solaire,95.22
Solaire,43.06
Solaire,99.4
Solaire,99.4
Solaire,99.9
Solaire,99.4
Solaire,99.4
Solaire,99.4
Solaire,99.99
Solaire,99.99
Solaire,99.4
Solaire,99.0
Solaire,99.84
Solaire,95.37
Bioénergies,99.9
Solaire,99.9
Solaire,52.42
Solaire,84.15
Solaire,99.0
Solaire,99.0
Solaire,72.0
Solaire,4500.0
Solaire,99.8
Hydraulique,730.0
Solaire,99.9
Solaire,183.65
Solaire,72.45
Solaire,99.9
Solaire,137.27
Solaire,74.02
Solaire,93.2
Solaire,90.0
Solaire,99.9
Hydraulique,144.0
Hydraulique,15600.0
Solaire,167.64
Hydraulique,15100.0
Hydraulique,8600.0
Hydraulique,15100.0
Hydraulique,8600.0
Hydraulique,1400.0
Solaire,38.24
Hydraulique,400.0
Hydraulique,1400.0
Solaire,52.32
Solaire,34.66
Hydraulique,55000.0
Hydraulique,1000.0
Hydraulique,800.0
Solaire,99.19
Solaire,99.9
Solaire,100.0
Solaire,99.9
Solaire,100.0
Solaire,99.9
Solaire,27.6
Solaire,27.76
Solaire,115.9
Solaire,99.9
Solaire,99.9
Solaire,115.9
Solaire,99.9
Solaire,79.92
Solaire,99.9
Solaire,99.84
Solaire,79.92
Solaire,79.92
Solaire,99.9
Solaire,482.12
Solaire,272.4
Solaire,99.9
Solaire,99.9
Solaire,99.9
Solaire,99.0
Solaire,99.0
Solaire,99.99
Solaire,99.9
Solaire,99.9
Solaire,79.92
Solaire,99.45
Solaire,66.51
Solaire,84.15
Hydraulique,740.0
Hydraulique,740.0
Solaire,100.0
Solaire,100.0
Solaire,99.96
Solaire,93.2
Solaire,93.2
Solaire,101.82
Solaire,71.28
Solaire,59.78
Solaire,99.0
Solaire,84.15
Solaire,66.24
Solaire,84.15
Hydraulique,730.0
Solaire,84.15
Solaire,4500.0
Hydraulique,1000.0
Hydraulique,800.0
Hydraulique,120.0
Hydraulique,120.0
Solaire,35.72
Solaire,39.72
Solaire,99.9
Solaire,90.0
Solaire,67.36
Hydraulique,55000.0
Solaire,880.0
Hydraulique,144.0
Hydraulique,15600.0
Solaire,2199.0
Solaire,29.0
Hydraulique,3400.0
Hydraulique,3400.0
Solaire,63.92
Solaire,3500.0
Solaire,93.0
Solaire,3500.0
Solaire,93.12
Solaire,99.9
Solaire,475.0
Solaire,4000.0
Solaire,99.84
Solaire,99.4
Solaire,4150.0
Solaire,3783.0
Solaire,99.75
Solaire,11990.0
Solaire,99.65
Solaire,99.9
Solaire,99.0
Solaire,3275.0
Solaire,99.4
Solaire,99.84
Solaire,75.0
Solaire,99.4
Solaire,99.9
Solaire,123.74
Solaire,57.8
Solaire,68.4
Solaire,99.75
Solaire,100.0
Solaire,99.6
Hydraulique,5410.0
Hydraulique,5410.0
Solaire,99.0
Solaire,152.2
Solaire,99.9
Solaire,74.88
Solaire,99.8
Solaire,99.9
Solaire,152.2
Solaire,151.7
Solaire,208.01
Solaire,439.29
Solaire,151.7
Solaire,74.88
Solaire,99.9
Solaire,310.16
Solaire,64.9
Solaire,99.4
Solaire,90.0
Solaire,75.0
Solaire,51.84
Solaire,61.6
Solaire,99.4
Solaire,99.4
Solaire,99.84
Solaire,100.0
Solaire,57.72
Solaire,99.0
Solaire,100.0
Solaire,99.84
Solaire,99.4
Solaire,99.8
Solaire,99.84
Solaire,559.71
Solaire,99.82
Solaire,99.4
Solaire,100.0
Solaire,90.0
Solaire,99.99
Solaire,97.11
Solaire,99.84
Solaire,57.72
Solaire,99.4
Solaire,99.8
Solaire,97.11
Solaire,99.84
Solaire,99.84
Solaire,249.0
Solaire,99.9
Solaire,99.99
Solaire,99.82
Solaire,76.9
Solaire,64.9
Solaire,99.84
Solaire,99.84
Solaire,51.84
Solaire,61.6
Solaire,54.0
Solaire,99.9
Solaire,249.0
Solaire,99.9
Solaire,99.4
Hydraulique,1250.0
Thermique non renouvelable,20000.0
Solaire,97.2
Solaire,880.0
Solaire,99.84
Solaire,99.9
Solaire,99.9
Solaire,99.9
Solaire,74.88
Solaire,64.8
Solaire,99.9
Solaire,99.8
Solaire,99.9
Solaire,1155.0
Solaire,45.36
Solaire,667.92
Solaire,84.6
Solaire,99.4
Thermique non renouvelable,25000.0
Solaire,4780.0
Solaire,99.9
Solaire,99.9
Solaire,247.36
Solaire,99.82
Hydraulique,2450.0
Thermique non renouvelable,112000.0
Solaire,98.7
Solaire,1494.0
Solaire,99.9
Solaire,248.0
Thermique non renouvelable,20000.0
Solaire,84.0
Solaire,64.8
Solaire,74.88
Solaire,75.0
Solaire,45.36
Solaire,99.76
Solaire,84.2
Solaire,84.6
Solaire,75.02
Solaire,97.2
Solaire,99.8
Solaire,1156.0
Solaire,99.84
Solaire,99.84
Thermique non renouvelable,40000.0
